rank,smoke_status,energy,risk_budget_multiplier,abs_delta,ansatz,optimizer,backend_choice,reps,maxiter,seed,ok
1,PASS,-0.13979243080093262,1.0694444442930973,0.023492071917489116,TwoLocal,COBYLA,Estimator (default),1,60,33,False
2,PASS,-0.13979243080093262,1.0694444442930973,0.023492071917489116,TwoLocal,COBYLA,Estimator (default),1,80,33,False
3,PASS,-0.13979243080093262,1.0694444442930973,0.023492071917489116,TwoLocal,COBYLA,Estimator (default),1,120,33,False
4,PASS,-0.13979243080093262,1.0694444442930973,0.023492071917489116,TwoLocal,COBYLA,Estimator (default),2,60,33,False
5,PASS,-0.13979243080093262,1.0694444442930973,0.023492071917489116,TwoLocal,COBYLA,Estimator (default),2,80,33,False
6,PASS,-0.13979243080093262,1.0694444442930973,0.023492071917489116,TwoLocal,COBYLA,Estimator (default),2,120,33,False
7,PASS,-0.13979243080093262,1.0694444442930973,0.023492071917489116,TwoLocal,COBYLA,Estimator (default),3,60,33,False
8,PASS,-0.13979243080093262,1.0694444442930973,0.023492071917489116,TwoLocal,COBYLA,Estimator (default),3,80,33,False
9,PASS,-0.13979243080093262,1.0694444442930973,0.023492071917489116,TwoLocal,COBYLA,Estimator (default),3,120,33,False
10,FAIL,-1.3783852961825482,1.4402945904850484,1.2151007934641265,TwoLocal,COBYLA,Estimator (default),1,60,22,False
11,FAIL,-1.3783852961825482,1.4402945904850484,1.2151007934641265,TwoLocal,COBYLA,Estimator (default),1,80,22,False
12,FAIL,-1.3783852961825482,1.4402945904850484,1.2151007934641265,TwoLocal,COBYLA,Estimator (default),1,120,22,False
13,FAIL,-1.3783852961825482,1.4402945904850484,1.2151007934641265,TwoLocal,COBYLA,Estimator (default),2,60,22,False
14,FAIL,-1.3783852961825482,1.4402945904850484,1.2151007934641265,TwoLocal,COBYLA,Estimator (default),2,80,22,False
15,FAIL,-1.3783852961825482,1.4402945904850484,1.2151007934641265,TwoLocal,COBYLA,Estimator (default),2,120,22,False
16,FAIL,-1.3783852961825482,1.4402945904850484,1.2151007934641265,TwoLocal,COBYLA,Estimator (default),3,60,22,False
17,FAIL,-1.3783852961825482,1.4402945904850484,1.2151007934641265,TwoLocal,COBYLA,Estimator (default),3,80,22,False
18,FAIL,-1.3783852961825482,1.4402945904850484,1.2151007934641265,TwoLocal,COBYLA,Estimator (default),3,120,22,False
19,FAIL,-0.4130571850145609,1.1955327075085704,0.24977268229613916,TwoLocal,COBYLA,Estimator (default),1,60,11,False
20,FAIL,-0.4130571850145609,1.1955327075085704,0.24977268229613916,TwoLocal,COBYLA,Estimator (default),1,80,11,False
21,FAIL,-0.4130571850145609,1.1955327075085704,0.24977268229613916,TwoLocal,COBYLA,Estimator (default),1,120,11,False
22,FAIL,-0.4130571850145609,1.1955327075085704,0.24977268229613916,TwoLocal,COBYLA,Estimator (default),2,60,11,False
23,FAIL,-0.4130571850145609,1.1955327075085704,0.24977268229613916,TwoLocal,COBYLA,Estimator (default),2,80,11,False
24,FAIL,-0.4130571850145609,1.1955327075085704,0.24977268229613916,TwoLocal,COBYLA,Estimator (default),2,120,11,False
25,FAIL,-0.4130571850145609,1.1955327075085704,0.24977268229613916,TwoLocal,COBYLA,Estimator (default),3,60,11,False
26,FAIL,-0.4130571850145609,1.1955327075085704,0.24977268229613916,TwoLocal,COBYLA,Estimator (default),3,80,11,False
27,FAIL,-0.4130571850145609,1.1955327075085704,0.24977268229613916,TwoLocal,COBYLA,Estimator (default),3,120,11,False
